Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00      24/256         KadC_log [93]
                0.00    0.00      12/21954       KadC_free [24]
                0.00    0.00       6/7           MD4 [149]
                0.00    0.00       6/6           KadC_parsefilter [153]
                0.00    0.00       6/4501        getushortle [38]
                0.00    0.00       6/6           s_filter_dump [159]
                0.00    0.00       6/8           Overnet_find [146]
                0.00    0.00       6/382         rbt_size [88]
-----------------------------------------------
                                                 <spontaneous>
[13]     0.0    0.00    0.00                 p2pquery [13]
                0.00    0.00       6/6           KadC_find [12]
                0.00    0.00      18/256         KadC_log [93]
                0.00    0.00      10/7216        rbt_begin [32]
                0.00    0.00       8/382         rbt_size [88]
                0.00    0.00       6/65          DNSpacket2msg [111]
                0.00    0.00       6/490         KadC_calloc [84]
                0.00    0.00       6/6           KadCtag_find [154]
                0.00    0.00       6/157         rbt_destroy [103]
                0.00    0.00       6/29          DNSmsg2packet [124]
                0.00    0.00       6/65          dns_msg_destroy [112]
                0.00    0.00       6/2346        enq [49]
                0.00    0.00       4/8615        rbt_value [29]
                0.00    0.00       2/2           KadCdictionary_dump [168]
                0.00    0.00       2/2100        htoa [51]
                0.00    0.00       2/7841        rbt_erase [31]
                0.00    0.00       2/2           KadCdictionary_destroy [167]
-----------------------------------------------
                0.00    0.00       1/110743      sighandler [395]
                0.00    0.00       1/110743      overnetinifileupdate [6]
                0.00    0.00       1/110743      startKadEngine [186]
                0.00    0.00       1/110743      destroy_kba [177]
                0.00    0.00       2/110743      kstore_destroy [171]
                0.00    0.00       2/110743      stopKadEngine [4]
                0.00    0.00       5/110743      kstore_insert [162]
                0.00    0.00       5/110743      OvernetSearchInfoSession [96]
                0.00    0.00      10/110743      contact_status_update [100]
                0.00    0.00      10/110743      Overnet_find [146]
                0.00    0.00      48/110743      udp_send [119]
                0.00    0.00      53/110743      overnet_kboot [181]
                0.00    0.00     128/110743      destroy_kbucket [105]
                0.00    0.00     256/110743      KadC_log [93]
                0.00    0.00     308/110743      ConsoleLoop [2]
                0.00    0.00     314/110743      OvernetSearchInfoSession_th [219]
                0.00    0.00     391/110743      OvernetBGthread [216]
                0.00    0.00     450/110743      udp_recv_thread [419]
                0.00    0.00     488/110743      millisleep_exit [85]
                0.00    0.00     786/110743      Tryadd2buckets [86]
                0.00    0.00     970/110743      UpdateNodeStatus [76]
                0.00    0.00    1031/110743      udp_recv_thread [420]
                0.00    0.00    1031/110743      KAD_UDPlistener [72]
                0.00    0.00    1031/110743      retrieveSessionObject [74]
                0.00    0.00    1032/110743      reapDeadServerThreads [71]
                0.00    0.00    1104/110743      processing_thread [351]
                0.00    0.00    1381/110743      UDPsend [66]
                0.00    0.00    1381/110743      newSessionObject [69]
                0.00    0.00    1381/110743      destroySessionObject [68]
                0.00    0.00    1381/110743      deallocSessionObject [67]
                0.00    0.00    1384/110743      resetq [64]
                0.00    0.00    1589/110743      overnet_kboot_th [346]
                0.00    0.00    2346/110743      enq [49]
                0.00    0.00    3041/110743      deqtw [44]
                0.00    0.00    8191/110743      Overnet_find_th [221]
                0.00    0.00   35192/110743      KadC_flog [5]
                0.00    0.00   44017/110743      KadC_realloc [21]
[16]     0.0    0.00    0.00  110743         Debug_pthread_mutex_lock [16]
-----------------------------------------------
                0.00    0.00       1/110743      sighandler [395]
                0.00    0.00       1/110743      overnetinifileupdate [6]
                0.00    0.00       1/110743      startKadEngine [186]
                0.00    0.00       1/110743      destroy_kba [177]
                0.00    0.00       2/110743      kstore_destroy [171]
                0.00    0.00       2/110743      stopKadEngine [4]
                0.00    0.00       5/110743      kstore_insert [162]
                0.00    0.00       5/110743      OvernetSearchInfoSession [96]
                0.00    0.00      10/110743      contact_status_update [100]
                0.00    0.00      10/110743      Overnet_find [146]
                0.00    0.00      48/110743      udp_send [119]
                0.00    0.00      53/110743      overnet_kboot [181]
                0.00    0.00     128/110743      destroy_kbucket [105]
                0.00    0.00     256/110743      KadC_log [93]
                0.00    0.00     308/110743      ConsoleLoop [2]
                0.00    0.00     314/110743      OvernetSearchInfoSession_th [219]
                0.00    0.00     391/110743      OvernetBGthread [216]
                0.00    0.00     450/110743      udp_recv_thread [419]
                0.00    0.00     488/110743      millisleep_exit [85]
                0.00    0.00     786/110743      Tryadd2buckets [86]
                0.00    0.00     970/110743      UpdateNodeStatus [76]
                0.00    0.00    1031/110743      udp_recv_thread [420]
                0.00    0.00    1031/110743      KAD_UDPlistener [72]
                0.00    0.00    1031/110743      retrieveSessionObject [74]
                0.00    0.00    1032/110743      reapDeadServerThreads [71]
                0.00    0.00    1104/110743      processing_thread [351]
                0.00    0.00    1381/110743      UDPsend [66]
                0.00    0.00    1381/110743      newSessionObject [69]
                0.00    0.00    1381/110743      destroySessionObject [68]
                0.00    0.00    1381/110743      deallocSessionObject [67]
                0.00    0.00    1384/110743      resetq [64]
                0.00    0.00    1589/110743      overnet_kboot_th [346]
                0.00    0.00    2346/110743      enq [49]
                0.00    0.00    3041/110743      deqtw [44]
                0.00    0.00    8191/110743      Overnet_find_th [221]
                0.00    0.00   35192/110743      KadC_flog [5]
                0.00    0.00   44017/110743      KadC_realloc [21]
[17]     0.0    0.00    0.00  110743         Debug_pthread_mutex_unlock [17]
-----------------------------------------------
                0.00    0.00       1/104545      overnetinifileread [182]
                0.00    0.00       4/104545      Overnet_find [146]
                0.00    0.00      20/104545      overnet_republishnow [10]
                0.00    0.00     948/104545      Overnet_find_th [221]
                0.00    0.00    4254/104545      rbt_eraseKey [56]
                0.00    0.00   28333/104545      rbt_find [36]
                0.00    0.00   70985/104545      rbt_insert [28]
[18]     0.0    0.00    0.00  104545         int128eq [18]
-----------------------------------------------
                0.00    0.00    3621/103712      rbt_eraseKey [56]
                0.00    0.00   30919/103712      rbt_find [36]
                0.00    0.00   69172/103712      rbt_insert [28]
[19]     0.0    0.00    0.00  103712         int128lt [19]
-----------------------------------------------
                0.00    0.00   22062/44125       p_insert [22]
                0.00    0.00   22063/44125       p_remove [23]
[20]     0.0    0.00    0.00   44125         find [20]
-----------------------------------------------
                0.00    0.00       1/44017       KadC_strdup [176]
                0.00    0.00       6/44017       KadC_parsefilter [153]
                0.00    0.00      29/44017       DNSmsg2packet [124]
                0.00    0.00      74/44017       dns_domain_pack [110]
                0.00    0.00     490/44017       KadC_calloc [84]
                0.00    0.00   21463/44017       KadC_malloc [25]
                0.00    0.00   21954/44017       KadC_free [24]
[21]     0.0    0.00    0.00   44017         KadC_realloc [21]
                0.00    0.00   44017/110743      Debug_pthread_mutex_lock [16]
                0.00    0.00   44017/110743      Debug_pthread_mutex_unlock [17]
                0.00    0.00   22063/22063       p_insert [22]
                0.00    0.00   22063/22063       p_remove [23]
-----------------------------------------------
                0.00    0.00   22063/22063       KadC_realloc [21]
[22]     0.0    0.00    0.00   22063         p_insert [22]
                0.00    0.00   22062/44125       find [20]
-----------------------------------------------
                0.00    0.00   22063/22063       KadC_realloc [21]
